What does a doctype do?,The DOCTYPE declaration is used to tell what version of the HTML specifications your document respects. The most common version of this is &lt;!DOCTYPE html&gt; for the HTML5 standards.&nbsp;,"""<a href=""""https://www.frontendinterviewhandbook.com/html-questions#:~:text=For%20webpages%2C%20the%20DOCTYPE%20declaration,HTML%20specifications%20your%20document%20respects"""">Front End Interview Handbook</a>""",html
How do you serve a page with content in multiple languages?,"<i>To change the language, you can set the lang attribute in the HTML. It won’t change the HTML document, but the browser will be able to identify the language of the HTML document and will translate the page in your preferred language. You can also display alternate language pages based on the user’s location.&nbsp;</i>",,html
What kind of things must you be wary of when design or developing for multilingual sites?,"<div>Definitely word spacing. You can’t always use the same word or phrasing because depending on the language, sentences or words can take more or less space and affect the layout. This also applies to images.<br><br></div><div>You also need to be careful of colors, designs or images that can be perceived as insensitive or offensive in certain languages.</div>","""<a href=""""https://dev.to/zibu15/some-tips-for-designing-or-developing-multilingual-sites-2mp4#:~:text=Be%20wary%20of%20layout%20or,as%20body%20text%20or%20comments."""">Some tips for designing multilingual sites</a>""",html
What are data- attributes good for?,"<div>Data attributes are defined by developers, rather than attributes that are natively built into HTML. Their main usage is so the HTML can communicate with the CSS and JS.&nbsp;</div><div>You can store information like scores in a game or other information that’d be constantly changing. You can even use attribute selectors to change the CSS based on that as well.</div>","""<a href=""""https://developer.mozilla.org/en-US/docs/Learn/HTML/Howto/Use_data_attributes"""">MDN:Using data attributes</a>""",html
Consider HTML5 as an open web platform. What are the building blocks of HTML5?,<ul><li><div>Semantics - Allow you to describe more precisely what your content is.&nbsp;</div></li><li><div>Connectivity - Communicate with the server in new and innovative ways.</div></li><li><div>Offline and storage - Allow webpages to store data on the client-side locally and operate offline more efficiently.</div></li><li><div>Multimedia -Making video and audio first-class citizens in the Open Web.</div></li><li><div>2D/3D graphics and effects - Allowing a more diverse range of presentation options.&nbsp;</div></li><li><div>Performance and integration - Providing greater speed optimization and better usage of Computer Hardware.</div></li><li><div>Device access - Allowing for the usage of various input and output devices.</div></li><li><div>Styling - Letting authors write more sophisticated themes.</div></li></ul>,"""<a href=""""https://developer.mozilla.org/en-US/docs/Glossary/HTML5"""">MDN - HTML5</a>""",html
"Describe the difference between a cookie, sessionStorage and localStorage.","<ul><li><div>localStorage is client sided, lasts forever, is persistent across browser sessions.</div></li><li><div>sessionStorage is client sided, lasts until you close the tab, and is not persistent across browser sessions.&nbsp;</div></li><li><div>Cookies can be client or server sided, with a manually set expiration time. That expiration time could be anything. Cookies are persistent across browser sessions and sent with every HTTP request.&nbsp;</div></li></ul>","""<br><a href=""""https://developer.mozilla.org/en-US/docs/Web/HTTP/Cookies"""">Using HTTP Cookies</a> <br><br><a href=""""https://tutorial.techaltum.com/local-and-session-storage.html"""">Local and Session Storage</a>""",html
"Describe the difference between &lt;script&gt;, &lt;script async&gt; and &lt;script defer&gt;.","<ul><li><div>&lt;script&gt; - HTML parsing is blocked, the script is fetched and executed immediately, HTML parsing resumes after the script is executed.</div></li><li><div>&lt;script async&gt; - The script will be fetched in parallel to HTML parsing and executed as soon as it is available (potentially before HTML parsing completes). Use async when the script is independent of any other scripts on the page, for example, analytics.&nbsp;</div></li><li><div>&lt;script defer&gt; - The script will be fetched parallel to HTML parsing and executed after the page has finished parsing. If there’s multiple deferred scripts, they’re executed in order. For scripts that rely on a fully parsed DOM, deferred scripts can be helpful.</div></li></ul>","""<br> <a href=""""https://www.growingwiththeweb.com/2014/02/async-vs-defer-attributes.html"""">async vs defer attributes</a><br> <a href=""""https://stackoverflow.com/questions/10808109/script-tag-async-defer"""">Stack Overflow: Script Tag - async and defer</a><br> <a href=""""https://bitsofco.de/async-vs-defer/"""">Asynchronous vs Deferred JavaScript</a>""",html
Why is it generally a good idea to position CSS &lt;link&gt;s between &lt;head&gt;&lt;/head&gt; and JS &lt;script&gt;s just before &lt;/body&gt;? Do you know any exceptions?,"""<ul><li><div>&lt;links&gt; in the head allows CSS and HTML to be parsed simultaneously for progressive rendering so there aren’t flashes of unstyled content.</div></li><li><div>&lt;scripts&gt; can throw errors if the DOM isn’t rendered. For example trying to manipulate DOM elements that haven’t been initialized yet. You can put scripts in the head by deferring it so it runs after the DOM is loaded. An exception for positioning of <code>&lt;script&gt;</code>s at the bottom is when your script contains <code>document.write()</code>, but these days it's not a good practice to use <code>document.write()</code></div></li></ul>""","""<br> <a href=""""https://developer.yahoo.com/performance/rules.html#css_top"""">Put Stylesheets at the Top</a>""",html
What is progressive rendering?,<div>Progressive rendering are techniques to improve the performance of a webpage by rendering content to display as quickly as possible. Such as loading only the relevant/on screen images when the user scrolls. And prioritizing visible content first and the bare minimum CSS/JS needed for those.<br><br><div>Some examples of this would be:</div><div>Lazy loading of images – images on the page aren’t loaded all at once. JavaScript only loads when the user scrolls into the part that displays the image.</div><div>Prioritizing visible content - Include only the minimum CSS/content/scripts necessary for the page that’d be rendered in the user’s browser to display as quickly as possible. You’d then use the deferred scripts or listen for DOMContentLoaded to load in other resources and content.</div><br></div>,"""<br> <a href=""""https://tech.ebayinc.com/engineering/async-fragments-rediscovering-progressive-html-rendering-with-marko/"""">Async Fragments: Rediscovering Progressive HTML Rendering</a><br> <a href=""""https://stackoverflow.com/questions/33651166/what-is-progressive-rendering"""">What is progressive rendering?</a>""",html
Why you would use a srcset attribute in an image tag? Explain the process the browser uses when evaluating the content of this attribute.,"<div>You’d use the srcset to serve different images to users based on their device display width. For example you can display higher quality images to devices with retina display, while serving lower resolution images to lower-end devices. This will increase performance and decrease data wastage.&nbsp;</div>","""<br> <a href=""""https://developer.mozilla.org/en-US/docs/Learn/HTML/Multimedia_and_embedding/Responsive_images"""">Responsive images</a><br> <a href=""""https://css-tricks.com/responsive-images-youre-just-changing-resolutions-use-srcset/"""">Responsive Images</a>""",html
Have you used different HTML templating languages before?,"In 100Devs we use EJS to template our HTML dynamically depending on the data being served. There are many more out there such as ERB, Slim, Handlebars, Liquid, etc.&nbsp;provide similar functionality of escaping content and helpful filters  for manipulating the data to be displayed. Most templating engines will  also allow you to inject your own filters in the event you need custom  processing before display.",,html
What is CSS selector specificity and how does it work?,"""<span style=""""font-style: italic;"""">Specificity is how browsers decide which CSS property values are the most relevant and applied. CSS is cascading so it’s applied top to bottom, but it can only override existing styles if the selector specificity is equal or greater than previous CSS. The weight of the specificity is based on how specific the selector is. For example, elements have a weight of 1, classes&nbsp; a weight of 10, ids a weight of 100 and inline css or !important declarations have a weight of 1000. These values are all additive.</span>""","""<br> <a href=""""https://www.freecodecamp.org/news/what-is-css-specificity/"""">CSS Specificity</a>""",CSS
"""What's the difference between """"resetting"""" and """"normalizing"""" CSS? Which would you choose, and why?""","""<span style=""""font-style: italic;"""">Every browser has in-built CSS by default. And that’s not always desirable because you can have CSS elements that conflict or aren’t intended, which can cause some headaches debugging later.</span><span style=""""font-style: italic;""""><br></span><span style=""""font-style: italic;"""">A CSS reset is used to undo any of that browser applied CSS, where a CSS normalize is like a reset but maintains <b>some</b> default styling among browsers. I generally prefer a CSS reset because I prefer the fresh slate, but I’ve worked with developers that prefer CSS normalize because they’re more used to the default styling.</span>""","""<br> <a href=""""https://www.geeksforgeeks.org/difference-between-resetting-and-normalizing-in-css/"""">Difference between “resetting” and “normalizing” in CSS</a>""",CSS
Describe floats and how they work.,"""<span style=""""font-style: italic;"""">The float property removes an element from the normal flow of the page and places it in either the left or right side of the container, allowing text and inline elements to wrap around it. Floats are typically for floating images inside of blocks of text, especially after flexbox and grid took its place.&nbsp;</span>""","""<br> <a href=""""https://developer.mozilla.org/en-US/docs/Web/CSS/float"""">MDN: Float</a>""",CSS
Describe z-index and how stacking context is formed.,"""<span style=""""font-style: italic;"""">Z-index relates to the z-axis, or what elements are stacked on top of each other. Z-index is 0 by default. In order to assign a Z-index you MUST have a position other than ‘static’ declared. Z-index is also relative to the stacking context, which by default is shared by the entire document. To create a new stacking context on a parent it must have a position and declared Z-index value OR have an opacity &lt; 1.&nbsp;</span>""","""<br> <a href=""""https://developer.mozilla.org/en-US/docs/Web/CSS/z-index"""">MDN: z-index</a> """,CSS
Describe BFC (Block Formatting Context) and how it works.,"""<div><div><img src=""""1DsrHwttBVg7aNg41VJxy0g.png""""></div></div>Block formatting context is a process that occurs in the rendering of a web page. It determines where the boxes are laid out. Each box's left outer edge touches the left edge of the containing block.&nbsp;""","""<br> <a href=""""https://medium.com/@ritz078/block-formatting-contexts-in-css-3a9555355019"""">Block Formatting Contexts in CSS</a> """,CSS
What are the various clearing techniques and which is appropriate for what context?,"""Elements with """"clear: """" will appear beneath a floated element, rather than next to them.<br><u>Clear: none&nbsp;&nbsp;</u><br><img src=""""8T1CPMNQtGgEAy24s8eEdtCapB2gNzu2SVhnV-JV4XsAUlcC8UZV6QUSfe0kK3LJXdZokYPVB_ctN1ol5hLQm6zdgz58TAk6VZh6GeWqtX6l-LIDQvh.png""""><br>Clear: Left<br><img src=""""beuovsfr-q1ljUAboWgGxfxIwsX1incxF5bM-TH3AdQ5NPmLDw5qjs650yR_Rp26MGyvth7eoAXRK-c9Dg732BZucuTjQ2lLiMmX9p2CRlgbcrQGNW1.png""""><br>Clear: right (or both)<br><img src=""""3Uu6wR_cUyJcwnRHGY0pI5J7vECWYGG16-B4RETSHvuAKuvPsmOw01o3EBq2OtlI4M35ZZ-1sBimZu7GAlIo3fdP9kFpCa10G0eCBvlAKs8ALbk3R6A.png"""">""","""<br> <a href=""""https://developer.mozilla.org/en-US/docs/Web/CSS/clear"""">MDN: clear</a> """,CSS
"Explain CSS sprites, and how you would implement them on a page or site.","""<div>Websites often deal with tons of images, but a lot of image requests add up and reduces the performance of your website. So instead of having to load a ton of images, you can sprite images by quilting together multiple images into one large image. This way multiple image requests can become a singular HTTP request. Then in the CSS you use background-position and background-repeat:no repeat to shift the background underneath so different sections are revealed. Commonly used for icons.&nbsp;<br><img src=""""HVFYC9tGrsOMEIpDxwuejcmU7b8CZIEjmGL0O64pOgrUhKOzZu8zTCDZYGqPpzJzqEN1-8nnAJDYCVeg6v48eB0WRBfX574tGd3rqQW46lRbcwZE9O8.png""""><br></div>""","""<br> <a href=""""https://www.udacity.com/blog/2021/07/an-easy-guide-to-css-sprites.html """">An Easy Guide to CSS Sprites</a> """,CSS
How would you approach fixing browser-specific styling issues?,"<div>If it’s only one browser, then I’d consider a separate stylesheet for that browser in particular. If I’m using bootstrap, then that has some libraries that can help fix browser specific styling issues. Beyond that I’d probably consider using a CSS Reset/Normalize depending on the styling issue.&nbsp;</div>",,CSS
How do you serve your pages for feature-constrained browsers? What techniques/processes do you use?,"<div>Graceful  degradation — The practice of building an application for modern  browsers while ensuring it remains functional in older browsers.</div><div>Progressive  enhancement — The practice of building an application for a base level  of user experience, but adding functional enhancements when a browser  supports it.<br>caniuse.com or Modernizr can also work</div>","""<br> <a href=""""https://developer.mozilla.org/en-US/docs/Glossary/Graceful_degradation"""">MDN: Graceful degradation</a> <br> <a href=""""https://developer.mozilla.org/en-US/docs/Glossary/Progressive_Enhancement"""">MDN: Progressive Enhancement</a> """,CSS
